subdomain,domain,tld,path_rest,url_length,path_rest_length,num_spcs_chars,domain_entropy,domain_age,created_year,updated_year,expires_year,country_code
fi,agriservice.fi,fi,www.paypal.com/au/secure-code372/cgi-bin/cgi-bin/webscrcmd=/home.php,83,68,0,3.182005814760214,4629.0,19.1,27.9,19.1,FI
com,www.zzjixiang.com,com,images/?app=com-d3&amp;us.battle.net/login/en/?ref=us.battle.net/d3/en/index,94,76,0,3.454822399946607,3403.0,2014,2023,2024,CN
pt,www.standprincipal.pt,pt,site/modules/mod_login/tmpl/char/www.paypal.com/fr/processing.htm?cmd=_processing&amp;dispatch=5885d80a13c0db1fb6947b0aeae66fdbfb2119927117e3a6f876e0fd34af4365c34b436e20300f729f081c8bf10d1414c34b436e20300f729f081c8bf10d1414,245,223,0,3.4632805178108104,,,,,
com,www.asideal.com,com,js/?http:/us.battle.net/login/en/?ref=http:/us.battle.net/d3/en/index&amp;amp;amp;app=com-d3,108,92,0,3.32323142879762,865.0,2021,2023,2024,CN
com,soldierforever.com,com,.tbt/Www.PayPal.fr4/Langue&amp;id=FR-fr/c0aeae66fdbfb2119927117e3a6765c403f4977abcf/cmd=_login-submit&amp;dispatch=5885d80a13c0db1fb6947/info_updating/paypal/,177,158,0,3.377443751081734,,,,,
net,explosaodecompra.web44.net,net,,27,0,0,3.9021748142117274,5573.0,2008,2023,2024,US
ly,bit.ly,ly,VMyEZg,13,6,0,2.584962500721156,5544.0,2008,2022,2032,US
br,cadastroprogramafaturazero.net.br,br,ID/copa-8/,44,10,0,3.6950206341166107,,,,,
br,cadastroprogramafaturazero.net.br,br,,34,0,0,3.6950206341166107,,,,,
com,teatimesmedia.com,com,images/tess/tesav/login.html,46,28,0,3.1751231351134614,,,,,
com,teatimesmedia.com,com,images/tess/tescr/login.html,46,28,0,3.1751231351134614,,,,,
com,japanesecookingvideos.com,com,tescocredit.php,41,15,0,3.7336606896881848,,,,,
mx,www.laconchita.com.mx,mx,Cielo/index.php,37,15,0,3.4273334938982645,138.0,2023,2023,2024,US
com,teatimesmedia.com,com,images/new/tess/tesav/login.html,50,32,0,3.1751231351134614,,,,,
uk,www.the-fridge-door.co.uk,uk,includes/js/tea.php,45,19,0,3.7532696895151076,,,,,
tk,00wwebhost.tk,tk,,14,0,0,3.238901256602631,,,,,
gr,cinephilia.gr,gr,search/cadastro2/,31,17,0,3.334679141051595,,,,,
mx,laconchita.com.mx,mx,Cielo/,24,6,0,3.337175341123077,138.0,2023,2023,2024,US
